,company,degree,betweenness,closeness,eigenvector
0,360buy,0.017857142857142856,0.0,4.346621330803847,0.01785429244594503
1,450 sas,0.017857142857142856,0.0,3.526050611498007,0.03005037938506952
2,TupiLabs,0.017857142857142856,0.0,2.8589365338664194,0.021723661086458335
3,a9,0.07589285714285714,0.005245035233824471,5.870987797246878,0.06097908236933978
4,accenture,0.017857142857142856,0.0,2.834967552353907,0.023893122606850198
5,adnovum,0.026785714285714284,0.0,4.160741142561073,0.05330098072696763
6,adobe,0.013392857142857142,0.0,2.3355920301175654,0.01901618823233201
7,agero,0.03571428571428571,0.00032030749519538755,5.429944450902569,0.019235155113953906
8,alibaba,0.125,0.012812299807815501,6.3287210437098205,0.09462632951320163
9,altiscale,0.39285714285714285,0.07726751014307068,6.284323767110616,0.21474426566902347
10,amazon,0.1294642857142857,0.02069987187700192,5.852782073605007,0.08406296153220659
11,amd,0.026785714285714284,0.0,5.636762062724502,0.04294463619944177
12,amdocs,0.02232142857142857,0.0,4.979592002722978,0.007807219844995228
13,amplidata,0.0625,0.007887572069186418,5.609159891169324,0.04702717356442982
14,aol,0.03571428571428571,0.0,4.968575743991268,0.02946414192771458
15,apple,0.06696428571428571,0.0028427290198590645,5.8190175826766,0.050312871239262376
16,archimiddle,0.013392857142857142,0.0,1.7852659168771208,0.02977584328436223
17,ariane software,0.013392857142857142,0.0,2.9606960815665238,0.005883942250388458
18,at&t,0.049107142857142856,0.0,4.126831008516983,0.06726710312647471
19,atos,0.013392857142857142,0.0,2.6020326254171917,0.002818619809452618
20,audiencescience,0.02232142857142857,0.0,2.865692019701576,0.04104126366441454
21,autogrid,0.03571428571428571,0.0,4.865707634135196,0.04346360065169959
22,avlino,0.017857142857142856,0.0,3.5724464566238505,0.014434968500461578
23,bahrti softbank,0.03125,0.0,3.2788606368055873,0.05627295812220932
24,baidu,0.13392857142857142,0.008408071748878924,6.027417233807027,0.11922542578848755
25,barcleys,0.026785714285714284,0.0,3.2929155722409544,0.030591621750291155
26,basecamp,0.017857142857142856,0.0,1.7852659168771208,0.06025654009528768
27,biglobe,0.013392857142857142,0.0,2.731886608444193,0.004106997600856219
28,bnp paribas personal finance,0.017857142857142856,0.0,3.0959325958890878,0.019003201791213963
29,bol.com,0.05803571428571428,0.003082959641255605,5.761170697336737,0.05959205726498864
30,brainpad,0.040178571428571425,0.0,3.6568697843132703,0.066293118777941
31,btc,0.017857142857142856,0.0,2.7484447637241,0.012947615284677512
32,bull,0.03571428571428571,0.0,3.0938378998739307,0.08609746213858989
33,capecode,0.04464285714285714,0.0,4.349522703879913,0.07926379048038722
34,capital one,0.049107142857142856,0.0,4.6927567231964264,0.06728276177653425
35,captial one,0.008928571428571428,0.0,0.0,3.487220945617562e-26
36,carmanconsulting,0.013392857142857142,0.0,2.8340959682900095,0.013911178534005373
37,cavium,0.02232142857142857,0.0,5.388163982180156,0.01662121614334594
38,cern,0.013392857142857142,0.0,1.669066866563439,0.030211878612714942
39,cerner,0.013392857142857142,0.0,2.0366335925817904,0.02352197750288381
40,cgi,0.013392857142857142,0.0,1.3723906250637727,0.04059805503314711
41,cisco,0.03571428571428571,0.00032030749519538755,5.429944450902569,0.019181455963107073
42,cleversafe,0.008928571428571428,0.0,0.0,2.310192255651861e-24
43,cloudera,0.7410714285714285,0.2387108290625668,6.8755324141925485,0.36013581350074836
44,cloudhowe,0.013392857142857142,0.0,2.0262043117109525,0.004579831757107554
45,cloudian,0.02232142857142857,0.0,3.227533668311385,0.026758772322102373
46,clovis group,0.013392857142857142,0.0,3.350775926535125,0.004701753657737243
47,cluster tech,0.049107142857142856,0.0,5.152285513142643,0.06860504463324377
48,comcast,0.03571428571428571,0.0,4.848176018498575,0.04991663844647366
49,compete,0.04464285714285714,0.0,5.359364742667582,0.03993491221146275
50,concept software,0.008928571428571428,0.0,0.0,2.9252929522175045e-19
51,credit suisse,0.017857142857142856,0.0,2.8566709084023367,0.01546581591975139
52,creditease,0.04464285714285714,0.0010409993593850095,6.228566256579219,0.023155768131192883
53,crs4,0.017857142857142856,0.0,2.3549386012712015,0.041913699393177475
54,data artisans,0.013392857142857142,0.0,1.7202829613407495,0.013768343238527691
55,databricks,0.03571428571428571,0.0,4.926736847114301,0.04568210724622079
56,datadog,0.02232142857142857,0.0,4.6558818432939875,0.014380602993860863
57,datameer,0.07589285714285714,0.0,5.087903084492212,0.08204221572540853
58,datastax,0.013392857142857142,0.0,2.469736913986441,0.010678422353582144
59,deri,0.013392857142857142,0.0,2.4709848761531523,0.016287887263783368
60,duedil,0.040178571428571425,0.0,5.795725138627824,0.020785965901860062
61,ea,0.06696428571428571,0.02166079436258808,6.244985642991423,0.045522932673856625
62,ebay,0.16964285714285712,0.0061258808456117865,5.6412441138283755,0.12688763131401942
63,emc,0.07589285714285714,0.001721652786675208,4.749532071145814,0.07570198666636047
64,endgame,0.013392857142857142,0.0,1.9391225625812887,0.02506409902796403
65,etsy,0.040178571428571425,0.0,3.9337251003113467,0.05493460578027873
66,eventbrite,0.013392857142857142,0.0,2.4716474026305493,0.017275235948614177
67,exar,0.07142857142857142,0.0,4.701114028042301,0.06431286296153922
68,exist,0.013392857142857142,0.0,3.23885582059357,0.004966505286554709
69,facebook,0.21428571428571427,0.023369101003630145,6.483573631290238,0.09624758767562407
70,feeldy,0.017857142857142856,0.0,3.141897032817804,0.03275768138039313
71,flipkart,0.0625,0.0016816143497757846,6.209560179603933,0.06406845389537871
72,fujitsu,0.03125,0.008568225496476617,6.193762824553248,0.022203372264726472
