,organization,organizationId,issueId,totNbrOfComments,nbrOfComments
352,altiscale,1.0,2114.0,2.0,1.0
353,altiscale,1.0,2140.0,3.0,1.0
354,altiscale,1.0,2152.0,2.0,1.0
355,altiscale,1.0,2153.0,11.0,1.0
356,altiscale,1.0,2159.0,8.0,1.0
357,altiscale,1.0,2163.0,12.0,1.0
358,altiscale,1.0,2178.0,3.0,1.0
359,altiscale,1.0,2240.0,2.0,1.0
360,altiscale,1.0,2251.0,8.0,1.0
361,altiscale,1.0,2277.0,10.0,1.0
362,altiscale,1.0,2285.0,2.0,1.0
363,altiscale,1.0,2288.0,3.0,1.0
364,altiscale,1.0,2290.0,3.0,1.0
365,altiscale,1.0,2309.0,13.0,1.0
366,altiscale,1.0,2310.0,27.0,4.0
367,altiscale,1.0,2324.0,4.0,1.0
368,altiscale,1.0,2338.0,1.0,1.0
369,altiscale,1.0,2385.0,2.0,1.0
370,altiscale,1.0,2398.0,1.0,1.0
371,altiscale,1.0,2401.0,3.0,1.0
372,altiscale,1.0,2430.0,7.0,1.0
373,altiscale,1.0,2442.0,9.0,1.0
374,altiscale,1.0,2458.0,5.0,1.0
375,altiscale,1.0,2465.0,49.0,2.0
376,altiscale,1.0,2474.0,183.0,1.0
377,altiscale,1.0,2600.0,13.0,1.0
378,altiscale,1.0,2601.0,8.0,1.0
379,altiscale,1.0,2608.0,3.0,1.0
380,altiscale,1.0,2613.0,3.0,1.0
381,altiscale,1.0,2633.0,3.0,1.0
382,altiscale,1.0,2634.0,1.0,1.0
383,altiscale,1.0,2653.0,11.0,1.0
384,altiscale,1.0,2667.0,5.0,1.0
385,altiscale,1.0,2730.0,56.0,1.0
386,altiscale,1.0,2751.0,6.0,1.0
387,altiscale,1.0,2763.0,12.0,1.0
388,altiscale,1.0,2779.0,24.0,9.0
389,altiscale,1.0,2809.0,12.0,3.0
390,altiscale,1.0,2855.0,4.0,1.0
391,altiscale,1.0,2857.0,33.0,1.0
392,altiscale,1.0,2875.0,4.0,1.0
393,altiscale,1.0,2876.0,2.0,1.0
394,altiscale,1.0,2904.0,22.0,1.0
395,altiscale,1.0,2907.0,7.0,1.0
396,altiscale,1.0,2908.0,7.0,1.0
397,altiscale,1.0,2922.0,2.0,2.0
398,altiscale,1.0,2924.0,11.0,1.0
399,altiscale,1.0,2927.0,52.0,2.0
400,altiscale,1.0,2939.0,4.0,1.0
401,altiscale,1.0,2940.0,1.0,1.0
402,altiscale,1.0,2947.0,2.0,1.0
403,altiscale,1.0,2963.0,5.0,1.0
404,altiscale,1.0,2981.0,17.0,1.0
405,altiscale,1.0,2998.0,7.0,1.0
406,altiscale,1.0,3000.0,3.0,1.0
407,altiscale,1.0,3009.0,4.0,1.0
408,altiscale,1.0,3023.0,6.0,1.0
409,altiscale,1.0,3032.0,1.0,1.0
410,altiscale,1.0,3042.0,70.0,2.0
411,altiscale,1.0,3065.0,4.0,1.0
412,altiscale,1.0,3067.0,2.0,1.0
413,altiscale,1.0,3089.0,22.0,2.0
414,altiscale,1.0,3143.0,4.0,1.0
415,altiscale,1.0,3154.0,5.0,1.0
416,altiscale,1.0,3172.0,6.0,3.0
417,altiscale,1.0,3227.0,13.0,1.0
418,altiscale,1.0,3251.0,1.0,1.0
419,altiscale,1.0,3259.0,3.0,1.0
420,altiscale,1.0,3268.0,3.0,1.0
421,altiscale,1.0,3276.0,2.0,1.0
422,altiscale,1.0,3293.0,58.0,1.0
423,altiscale,1.0,3311.0,71.0,1.0
424,altiscale,1.0,3313.0,30.0,3.0
425,altiscale,1.0,3315.0,81.0,3.0
426,altiscale,1.0,3359.0,21.0,1.0
427,altiscale,1.0,3371.0,2.0,1.0
428,altiscale,1.0,3381.0,9.0,1.0
429,altiscale,1.0,3388.0,78.0,1.0
430,altiscale,1.0,3420.0,15.0,1.0
431,altiscale,1.0,3422.0,2.0,1.0
432,altiscale,1.0,3436.0,30.0,1.0
433,altiscale,1.0,3448.0,1.0,1.0
434,altiscale,1.0,3453.0,19.0,1.0
435,altiscale,1.0,3454.0,11.0,3.0
436,altiscale,1.0,3459.0,7.0,1.0
437,altiscale,1.0,3465.0,28.0,3.0
438,altiscale,1.0,3478.0,2.0,1.0
439,altiscale,1.0,3582.0,3.0,1.0
440,altiscale,1.0,3601.0,4.0,1.0
441,altiscale,1.0,3603.0,2.0,1.0
442,altiscale,1.0,3628.0,5.0,1.0
443,altiscale,1.0,3631.0,2.0,1.0
444,altiscale,1.0,3632.0,4.0,1.0
445,altiscale,1.0,3637.0,4.0,1.0
446,altiscale,1.0,3648.0,2.0,1.0
447,altiscale,1.0,3650.0,4.0,1.0
448,altiscale,1.0,3652.0,1.0,1.0
449,altiscale,1.0,3659.0,1.0,1.0
450,altiscale,1.0,3672.0,1.0,1.0
451,altiscale,1.0,3685.0,1.0,1.0
452,altiscale,1.0,3719.0,3.0,1.0
453,altiscale,1.0,3747.0,25.0,2.0
454,altiscale,1.0,3757.0,8.0,1.0
455,altiscale,1.0,3759.0,4.0,1.0
456,altiscale,1.0,3764.0,2.0,1.0
457,altiscale,1.0,3765.0,1.0,1.0
458,altiscale,1.0,3766.0,15.0,2.0
459,altiscale,1.0,3806.0,22.0,2.0
460,altiscale,1.0,3826.0,8.0,1.0
461,altiscale,1.0,3827.0,1.0,1.0
462,altiscale,1.0,3830.0,3.0,1.0
463,altiscale,1.0,3847.0,29.0,1.0
464,altiscale,1.0,3848.0,1.0,1.0
465,altiscale,1.0,3855.0,4.0,1.0
466,altiscale,1.0,3899.0,4.0,1.0
467,altiscale,1.0,3927.0,1.0,1.0
468,altiscale,1.0,3944.0,6.0,1.0
469,altiscale,1.0,3945.0,5.0,1.0
470,altiscale,1.0,3947.0,3.0,1.0
471,altiscale,1.0,3970.0,3.0,1.0
472,altiscale,1.0,4021.0,5.0,1.0
473,altiscale,1.0,4022.0,1.0,1.0
474,altiscale,1.0,4033.0,8.0,1.0
475,altiscale,1.0,4053.0,17.0,1.0
476,altiscale,1.0,4135.0,1.0,1.0
477,altiscale,1.0,4140.0,4.0,1.0
478,altiscale,1.0,4164.0,6.0,1.0
479,altiscale,1.0,4186.0,30.0,1.0
480,altiscale,1.0,4196.0,7.0,1.0
481,altiscale,1.0,4202.0,54.0,11.0
482,altiscale,1.0,4209.0,3.0,1.0
483,altiscale,1.0,4251.0,5.0,1.0
484,altiscale,1.0,4262.0,12.0,1.0
485,altiscale,1.0,4264.0,3.0,1.0
486,altiscale,1.0,4300.0,37.0,1.0
487,altiscale,1.0,4310.0,5.0,1.0
488,altiscale,1.0,4311.0,3.0,1.0
489,altiscale,1.0,4323.0,1.0,1.0
490,altiscale,1.0,4335.0,5.0,1.0
491,altiscale,1.0,4336.0,9.0,1.0
492,altiscale,1.0,4357.0,9.0,1.0
493,altiscale,1.0,4365.0,1.0,1.0
494,altiscale,1.0,4378.0,1.0,1.0
495,altiscale,1.0,4381.0,9.0,1.0
496,altiscale,1.0,4384.0,1.0,1.0
497,altiscale,1.0,4392.0,14.0,1.0
498,altiscale,1.0,4400.0,1.0,1.0
499,altiscale,1.0,4402.0,8.0,1.0
500,altiscale,1.0,4404.0,1.0,1.0
501,altiscale,1.0,4405.0,2.0,1.0
502,altiscale,1.0,4410.0,7.0,1.0
503,altiscale,1.0,4413.0,1.0,1.0
504,altiscale,1.0,4415.0,3.0,1.0
505,altiscale,1.0,4425.0,6.0,1.0
506,altiscale,1.0,4427.0,2.0,1.0
507,altiscale,1.0,4433.0,11.0,1.0
508,altiscale,1.0,4436.0,13.0,1.0
509,altiscale,1.0,4441.0,2.0,1.0
510,altiscale,1.0,4443.0,19.0,1.0
511,altiscale,1.0,4448.0,1.0,1.0
512,altiscale,1.0,4449.0,5.0,1.0
513,altiscale,1.0,4452.0,11.0,1.0
514,altiscale,1.0,4464.0,4.0,2.0
515,altiscale,1.0,4465.0,10.0,2.0
516,altiscale,1.0,4469.0,36.0,10.0
517,altiscale,1.0,4481.0,1.0,1.0
518,altiscale,1.0,4486.0,2.0,1.0
519,altiscale,1.0,4502.0,8.0,1.0
520,altiscale,1.0,4504.0,6.0,1.0
521,altiscale,1.0,4505.0,19.0,1.0
522,altiscale,1.0,4506.0,3.0,1.0
523,altiscale,1.0,4515.0,5.0,2.0
524,altiscale,1.0,4528.0,3.0,1.0
525,altiscale,1.0,4531.0,18.0,1.0
526,altiscale,1.0,4538.0,23.0,2.0
527,altiscale,1.0,4539.0,112.0,11.0
528,altiscale,1.0,4541.0,31.0,4.0
529,altiscale,1.0,4545.0,1.0,1.0
530,altiscale,1.0,4551.0,5.0,1.0
531,altiscale,1.0,4552.0,2.0,1.0
532,altiscale,1.0,4557.0,1.0,1.0
533,altiscale,1.0,4566.0,5.0,1.0
534,altiscale,1.0,4568.0,10.0,1.0
535,altiscale,1.0,4569.0,2.0,1.0
536,altiscale,1.0,4580.0,2.0,2.0
537,altiscale,1.0,4582.0,21.0,3.0
538,altiscale,1.0,4603.0,2.0,1.0
539,altiscale,1.0,4609.0,6.0,1.0
540,altiscale,1.0,4636.0,18.0,2.0
541,altiscale,1.0,4648.0,6.0,4.0
542,altiscale,1.0,4657.0,13.0,3.0
543,altiscale,1.0,4659.0,10.0,1.0
544,altiscale,1.0,4695.0,54.0,3.0
545,altiscale,1.0,4704.0,14.0,1.0
546,altiscale,1.0,4715.0,10.0,1.0
547,altiscale,1.0,4718.0,76.0,1.0
548,altiscale,1.0,4721.0,3.0,1.0
549,altiscale,1.0,4765.0,2.0,1.0
550,altiscale,1.0,4769.0,8.0,2.0
551,altiscale,1.0,4786.0,5.0,1.0
552,altiscale,1.0,4795.0,24.0,2.0
553,altiscale,1.0,4806.0,28.0,3.0
554,altiscale,1.0,4866.0,26.0,6.0
555,altiscale,1.0,4875.0,11.0,6.0
556,altiscale,1.0,4876.0,44.0,9.0
557,altiscale,1.0,4877.0,3.0,1.0
558,altiscale,1.0,4893.0,8.0,4.0
559,altiscale,1.0,4895.0,8.0,5.0
560,altiscale,1.0,4905.0,2.0,1.0
561,altiscale,1.0,4907.0,10.0,2.0
562,altiscale,1.0,4908.0,10.0,1.0
563,altiscale,1.0,4910.0,19.0,1.0
564,altiscale,1.0,4917.0,8.0,1.0
565,altiscale,1.0,4933.0,146.0,4.0
566,altiscale,1.0,4939.0,3.0,1.0
567,altiscale,1.0,4946.0,121.0,4.0
568,altiscale,1.0,4973.0,7.0,1.0
569,altiscale,1.0,4986.0,13.0,1.0
570,altiscale,1.0,4989.0,3.0,1.0
571,altiscale,1.0,5001.0,15.0,1.0
572,altiscale,1.0,5030.0,2.0,1.0
573,altiscale,1.0,5052.0,5.0,1.0
574,altiscale,1.0,5094.0,39.0,1.0
575,altiscale,1.0,5108.0,10.0,2.0
576,altiscale,1.0,5113.0,21.0,6.0
577,altiscale,1.0,5118.0,9.0,1.0
578,altiscale,1.0,5139.0,62.0,14.0
579,altiscale,1.0,5158.0,4.0,1.0
580,altiscale,1.0,5162.0,7.0,1.0
581,altiscale,1.0,5172.0,45.0,6.0
582,altiscale,1.0,5192.0,6.0,1.0
583,altiscale,1.0,5216.0,1.0,1.0
584,altiscale,1.0,5217.0,36.0,14.0
585,altiscale,1.0,5218.0,24.0,3.0
586,altiscale,1.0,5243.0,16.0,4.0
587,altiscale,1.0,5271.0,43.0,2.0
588,altiscale,1.0,5291.0,12.0,1.0
589,altiscale,1.0,5323.0,11.0,1.0
590,altiscale,1.0,5328.0,17.0,2.0
591,altiscale,1.0,5334.0,14.0,4.0
592,altiscale,1.0,5340.0,11.0,1.0
593,altiscale,1.0,5352.0,35.0,4.0
594,altiscale,1.0,5361.0,63.0,3.0
595,altiscale,1.0,5371.0,15.0,1.0
596,altiscale,1.0,5379.0,37.0,1.0
